abbrev,canonical
FREEWAY,FREEWAY
FWY,FREEWAY
FRONT,FRONT
FRNT,FRONT
FRONTAGE,FRONTAGE
FRTG,FRONTAGE
GAP,GAP
GARDEN,GARDEN
GDN,GARDEN
GARDENS,GARDENS
GDNS,GARDENS
GATE,GATE
GTE,GATE
GATEWAY,GATEWAY
GWY,GATEWAY
GLADE,GLADE
GLDE,GLADE
GLEN,GLEN
GRANGE,GRANGE
GRA,GRANGE
GREEN,GREEN
GRN,GREEN
GROVE,GROVE
GR,GROVE
GULLY,GULLY
GLY,GULLY
HARBOUR,HARBOUR
HRBR,HARBOUR
HAVEN,HAVEN
HVN,HAVEN
HEATH,HEATH
HTH,HEATH
HEIGHTS,HEIGHTS
HTS,HEIGHTS
HIGHROAD,HIGHROAD
HIRD,HIGHROAD
HIGHWAY,HIGHWAY
HWY,HIGHWAY
HIKE,HIKE
HILL,HILL
HILLS,HILLS
HOLLOW,HOLLOW
HLLW,HOLLOW
HUB,HUB
INLET,INLET
INLT,INLET
INTERCHANGE,INTERCHANGE
INTG,INTERCHANGE
ISLAND,ISLAND
ID,ISLAND
JUNCTION,JUNCTION
JNC,JUNCTION
KEY,KEY
KEYS,KEYS
KNOLL,KNOLL
KNOL,KNOLL
LADDER,LADDER
LADR,LADDER
LANDING,LANDING
LDG,LANDING
LANE,LANE
LANEWAY,LANEWAY
LNWY,LANEWAY
LEAD,LEAD
LEADER,LEADER
LEDR,LEADER
LINE,LINE
LINK,LINK
LINKWAY,LINKWAY
LNKWAY,LINKWAY
LOOKOUT,LOOKOUT
LKT,LOOKOUT
LOOP,LOOP
LYNNE,LYNNE
LYNN,LYNNE
MALL,MALL
MANOR,MANOR
MANR,MANOR
MART,MART
MAZE,MAZE
MZ,MAZE
MEAD,MEAD
MEANDER,MEANDER
MNDR,MEANDER
MEW,MEW
MEWS,MEWS
MILE,MILE
MOTORWAY,MOTORWAY
MTWY,MOTORWAY
NEST,NEST
NOOK,NOOK
NORTH,NORTH
NTH,NORTH
OUTLET,OUTLET
OTLT,OUTLET
OUTLOOK,OUTLOOK
OTLK,OUTLOOK
OVAL,OVAL
PALMS,PALMS
PLMS,PALMS
PARADE,PARADE
PDE,PARADE
PARADISE,PARADISE
PRDS,PARADISE
PARK,PARK
PARKWAY,PARKWAY
PWY,PARKWAY
PART,PART
PASS,PASS
PASSAGE,PASSAGE
PSGE,PASSAGE
PATH,PATH
PATHWAY,PATHWAY
PWAY,PATHWAY
PENINSULA,PENINSULA
PSLA,PENINSULA
PERCH,PERCH
PRCH,PERCH
PIAZZA,PIAZZA
PIAZ,PIAZZA
PLACE,PLACE
PL,PLACE
PLAZA,PLAZA
PLZA,PLAZA
POCKET,POCKET
PKT,POCKET
POINT,POINT
PNT,POINT
PORT,PORT
PRECINCT,PRECINCT
PREC,PRECINCT
PROMENADE,PROMENADE
PROM,PROMENADE
PURSUIT,PURSUIT
PRST,PURSUIT
QUAD,QUAD
QUADRANT,QUADRANT
QDRT,QUADRANT
QUAY,QUAY
QY,QUAY
QUAYS,QUAYS
QYS,QUAYS
RAMBLE,RAMBLE
RMBL,RAMBLE
RAMP,RAMP
RANGE,RANGE
RNGE,RANGE
REACH,REACH
RCH,REACH
REEF,REEF
RESERVE,RESERVE
RES,RESERVE
REST,REST
RETREAT,RETREAT
RTT,RETREAT
RETURN,RETURN
RTN,RETURN
RIDE,RIDE
RIDGE,RIDGE
RDGE,RIDGE
RIGHT OF WAY,RIGHT OF WAY
ROFW,RIGHT OF WAY
RING,RING
RISE,RISE
RISING,RISING
RSNG,RISING
RIVER,RIVER
RVR,RIVER
ROAD,ROAD
RD,ROAD
ROADS,ROADS
RDS,ROADS
ROADWAY,ROADWAY
RDWY,ROADWAY
ROTARY,ROTARY
RTY,ROTARY
ROUND,ROUND
RND,ROUND
ROUTE,ROUTE
RTE,ROUTE
ROW,ROW
ROWE,ROWE
RUE,RUE
RUN,RUN
SERVICEWAY,SERVICEWAY
SVWY,SERVICEWAY
SHUNT,SHUNT
SHUN,SHUNT
SIDING,SIDING
SDNG,SIDING
SKYLINE,SKYLINE
SKLN,SKYLINE
SLOPE,SLOPE
SLPE,SLOPE
SOUTH,SOUTH
STH,SOUTH
SPUR,SPUR
SQUARE,SQUARE
SQ,SQUARE
STEPS,STEPS
STPS,STEPS
STRAIGHT,STRAIGHT
STRT,STRAIGHT
STRAIT,STRAIT
STAI,STRAIT
STRAND,STRAND
STRA,STRAND
STREET,STREET
ST,STREET
STRIP,STRIP
STRP,STRIP
SUBWAY,SUBWAY
SBWY,SUBWAY
TARN,TARN
TERRACE,TERRACE
TCE,TERRACE
THOROUGHFARE,THOROUGHFARE
THFR,THOROUGHFARE
THROUGHWAY,THROUGHWAY
THRU,THROUGHWAY
TOLLWAY,TOLLWAY
TLWY,TOLLWAY
TOP,TOP
TOR,TOR
TRACK,TRACK
TRK,TRACK
TRAIL,TRAIL
TRL,TRAIL
TRAMWAY,TRAMWAY
TMWY,TRAMWAY
TRAVERSE,TRAVERSE
TVSE,TRAVERSE
TRIANGLE,TRIANGLE
TRUNKWAY,TRUNKWAY
TKWY,TRUNKWAY
TUNNEL,TUNNEL
TUNL,TUNNEL
TURN,TURN
TWIST,TWIST
UNDERPASS,UNDERPASS
UPAS,UNDERPASS
VALE,VALE
VALLEY,VALLEY
VLLY,VALLEY
VERGE,VERGE
VIADUCT,VIADUCT
VIAD,VIADUCT
VIEW,VIEW
VIEWS,VIEWS
VWS,VIEWS
VILLA,VILLA
VLLA,VILLA
VILLAGE,VILLAGE
VLGE,VILLAGE
VILLAS,VILLAS
VLLS,VILLAS
VISTA,VISTA
VSTA,VISTA
VUE,VUE
WADE,WADE
WALK,WALK
WALKWAY,WALKWAY
WKWY,WALKWAY
WATERS,WATERS
WTRS,WATERS
WATERWAY,WATERWAY
WTWY,WATERWAY
WAY,WAY
WEST,WEST
WHARF,WHARF
WHRF,WHARF
WOOD,WOOD
WD,WOOD
WOODS,WOODS
WDS,WOODS
WYND,WYND
YARD,YARD
YARDS,YARDS
AL,ALLEY
AVE,AVENUE
BLVD,BOULEVARD
BYP,BYPASS
CRT,COURT
CRES,CRESCENT
CDS,CUL-DE-SAC
DV,DRIVE
EXPY,EXPRESSWAY
GRV,GROVE
HY,HIGHWAY
LN,LANE
LA,LANE
MWS,MEWS
MWY,MOTORWAY
PKWY,PARKWAY
PKY,PARKWAY
PLC,PLACE
RI,RISE
RW,ROW
RN,RUN
STR,STREET
TER,TERRACE
TERR,TERRACE
TR,TRACK
VW,VIEW
VIS,VISTA
WK,WALK
WY,WAY
